URL,size,outgoing links,content-type
https://www.nytimes.com/2017/02/18/us/california-storms.html,79607,109,text/html; charset=utf-8
https://www.nytimes.com/video/automobiles/autoreviews/100000004931312/driven-honda-civic-hatchback-sport.html?action=click&contentCollection=automobiles&module=lede&pgtype=article&region=caption,177076,71,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/books/review/dark-flood-rises-margaret-drabble-.html,77296,95,text/html; charset=utf-8
https://www.nytimes.com/2017/02/03/world/asia/north-korea-purge-kim-jong-un-kim-won-hong.html,79865,106,text/html; charset=utf-8
https://www.nytimes.com/2017/02/13/well/family/teenagers-depression.html?hp&target=comments,87784,113,text/html; charset=utf-8
https://www.nytimes.com/section/arts/design,136968,149,text/html; charset=utf-8
https://www.nytimes.com/section/jobs,115657,124,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/arts/television/big-little-lies-nicole-kidman-reese-witherspoon.html,76317,104,text/html; charset=utf-8
https://www.nytimes.com/video/world/africa/100000004941093/congolese-soldiers-reportedly-fire-on-unarmed-civilians.html?playlistId=1194811622207,213965,77,text/html; charset=utf-8
https://www.nytimes.com/column/driven,112153,122,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/insider/good-bad-and-mad-andrew-rosenthal-on-the-news.html,71922,94,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/world/asia/kim-jong-un-brother-killed-malaysia.html,89013,116,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004942048/trump-attacks-the-media-at-rally.html,198017,80,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/business/samsung-heir-arrested-south-korea.html,86220,109,text/html; charset=utf-8
https://www.nytimes.com/2017/02/15/world/asia/kim-jong-un-brother-assassination-north-korea.html,81183,108,text/html; charset=utf-8
https://www.nytimes.com/2016/06/09/technology/warriors-techs-team-are-soaring-out-of-reach.html,93281,120,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/opinion/the-grunts-war.html,88160,104,text/html; charset=utf-8
https://www.nytimes.com/video/real-estate,174544,70,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/nyregion/new-york-math-camp.html,132619,135,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/world/africa/after-eight-years-in-guantanamo-he-yearns-to-return.html,91360,114,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/travel/scuba-diving-in-eritrea.html,102892,116,text/html; charset=utf-8
https://www.nytimes.com/section/theater,143238,161,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/opinion/i-alone-can-fix-it-president-trump-white-house-apprentice.html,72112,101,text/html; charset=utf-8
https://www.nytimes.com/video/opinion/100000004674545/41-miles.html,193519,72,text/html; charset=utf-8
https://www.nytimes.com/topic/person/caryl-churchill,107846,115,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/us/politics/affordable-care-act-congress.html,94342,123,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/world/europe/russia-tainted-booze-putin.html,93195,106,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/opinion/sunday/the-power-of-movies-to-change-our-hearts.html,74343,98,text/html; charset=utf-8
https://www.nytimes.com/by/ben-brantley,114081,124,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/sports/basketball/trump-white-house-uconn-geno-auriemma.html,91485,107,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004931482/flynn-resigns-national-security-adviser-trump.html,185454,72,text/html; charset=utf-8
https://www.nytimes.com/section/fashion,189777,186,text/html; charset=utf-8
https://www.nytimes.com/2017/02/01/magazine/the-misunderstood-genius-of-russell-westbrook.html,138289,107,text/html; charset=utf-8
https://www.nytimes.com/video/world/europe/100000004939290/blair-people-voted-without-knowing-the-terms-of-brexit.html?playlistId=1194811622213,154496,80,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/opinion/sunday/in-praise-of-hypocrisy.html,78251,108,text/html; charset=utf-8
https://www.nytimes.com/2016/02/15/theater/for-hangmen-and-escaped-alone-connecting-threads-in-london.html?_r=0,84478,112,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/insider/my-weekend-at-mar-a-lago-reporters-notebook.html,74356,98,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/world/asia/north-korea-china-coal-imports-suspended.html,72491,104,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/business/dealbook/kraft-heinz-unilever-deal-.html,90813,108,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/263327,115251,30,text/html; charset=utf-8
https://www.nytimes.com/2016/06/08/sports/basketball/nba-finals-stephen-curry-lebron-james-fashion.html,91599,118,text/html; charset=utf-8
https://www.nytimes.com/2017/02/15/insider/looking-for-a-good-laugh-the-times-introduces-a-new-column.html,72139,96,text/html; charset=utf-8
https://www.nytimes.com/2016/10/09/fashion/nba-stars-fashion-skylar-diggins.html,90109,127,text/html; charset=utf-8
https://www.nytimes.com/by/christopher-mele,110042,122,text/html; charset=utf-8
